char_1,char_2
Hepzibah Smith,Dolores Umbridge
Hepzibah Smith,Harry Potter
Hepzibah Smith,Helga Hufflepuff
Hepzibah Smith,Lord Voldemort
Hepzibah Smith,Salazar Slytherin
Hepzibah Smith,Zacharias Smith
Zacharias Smith,Albus Dumbledore
Zacharias Smith,Alicia Spinnet
Zacharias Smith,Angelina Johnson
Zacharias Smith,Cedric Diggory
Zacharias Smith,Cho Chang
Zacharias Smith,Colin Creevey
Zacharias Smith,Cormac McLaggen
Zacharias Smith,Dean Thomas
Zacharias Smith,Dolores Umbridge
Zacharias Smith,Ernie Macmillan
Zacharias Smith,Fred Weasley
Zacharias Smith,George Weasley
Zacharias Smith,Ginny Weasley
Zacharias Smith,Hannah Abbott
Zacharias Smith,Harry Potter
Zacharias Smith,Hepzibah Smith
Zacharias Smith,Hermione Granger
Zacharias Smith,Horace Slughorn
Zacharias Smith,Justin Finch-Fletchley
Zacharias Smith,Katie Bell
Zacharias Smith,Lavender Brown
Zacharias Smith,Lee Jordan
Zacharias Smith,Luna Lovegood
Zacharias Smith,Neville Longbottom
Zacharias Smith,Parvati Patil
Zacharias Smith,Ron Weasley
Zacharias Smith,Seamus Finnigan
Zacharias Smith,Susan Bones
Severus Snape,Aberforth Dumbledore
Severus Snape,"Alaster ""Mad-Eye"" Moody"
Severus Snape,Albus Dumbledore
Severus Snape,Alecto Carrow
Severus Snape,Alice Longbottom
Severus Snape,Amycus Carrow
Severus Snape,Angelina Johnson
Severus Snape,Antonin Dolohov
Severus Snape,Arabella Figg
Severus Snape,Argus Filch
Severus Snape,Ariana Dumbledore
Severus Snape,Arthur Weasley
Severus Snape,Augusta Longbottom
Severus Snape,Augustus Rookwood
Severus Snape,Barty Crouch Jr.
Severus Snape,Bellatrix Lestrange
Severus Snape,Bill Weasley
Severus Snape,Buckbeak
Severus Snape,Charity Burbage
Severus Snape,Colin Creevey
Severus Snape,Cormac McLaggen
Severus Snape,Cornelius Fudge
Severus Snape,Dean Thomas
Severus Snape,Dirk Cresswell
Severus Snape,Dolores Umbridge
Severus Snape,Draco Malfoy
Severus Snape,Emmeline Vance
Severus Snape,Ernie Macmillan
Severus Snape,Fat Friar
Severus Snape,Fat Lady
Severus Snape,Fenrir Greyback
Severus Snape,Filius Flitwick
Severus Snape,Firenze
Severus Snape,Fluffy
Severus Snape,Frank Longbottom
Severus Snape,Fred Weasley
Severus Snape,Garrick Ollivander
Severus Snape,George Weasley
Severus Snape,Gilderoy Lockhart
Severus Snape,Ginny Weasley
Severus Snape,Goyle Sr
Severus Snape,Gregory Goyle
Severus Snape,Hannah Abbott
Severus Snape,Harry Potter
Severus Snape,Helena Ravenclaw
Severus Snape,Hermione Granger
Severus Snape,Horace Slughorn
Severus Snape,Igor Karkaroff
Severus Snape,Irma Pince
Severus Snape,James Potter
Severus Snape,Justin Finch-Fletchley
Severus Snape,Kingsley Shacklebolt
Severus Snape,Lavender Brown
Severus Snape,Lee Jordan
Severus Snape,Lily Potter
Severus Snape,Lord Voldemort
Severus Snape,Lucius Malfoy
Severus Snape,Luna Lovegood
Severus Snape,Madam Rosmerta
Severus Snape,Merope Gaune
Severus Snape,Millicent Bulstrode
Severus Snape,Minerva McGonagall
Severus Snape,Moaning Myrtle
Severus Snape,Molly Weasley
Severus Snape,Mundungus Fletcher
Severus Snape,Nagini
Severus Snape,Narcissa Malfoy
Severus Snape,Neville Longbottom
Severus Snape,Nicholas de Mimsy-Porpington
Severus Snape,Nymphadora Tonks
Severus Snape,Oliver Wood
Severus Snape,Pansy Parkinson
Severus Snape,Peter Pettigrew
Severus Snape,Petunia Dursley
Severus Snape,Pius Thicknesse
Severus Snape,Pomona Sprout
Severus Snape,Poppy Pomfrey
Severus Snape,Quirinus Quirrell
Severus Snape,Rabastan Lestrange
Severus Snape,Remus Lupin
Severus Snape,Rita Skeeter
Severus Snape,Rodolphus Lestrange
Severus Snape,Rolanda Hooch
Severus Snape,Romilda Vane
Severus Snape,Ron Weasley
Severus Snape,Rubeus Hagrid
Severus Snape,Scabbers
Severus Snape,Seamus Finnigan
Severus Snape,Sirius Black
Severus Snape,Sybill Trelawney
Severus Snape,Terry Boot
Severus Snape,Tom Riddle Sr.
Severus Snape,Trevor
Severus Snape,"Vincent Crabbe, Sr."
Severus Snape,Winky
Severus Snape,Wormtail
Alicia Spinnet,Albus Dumbledore
Alicia Spinnet,Angelina Johnson
Alicia Spinnet,Anthony Goldstein
Alicia Spinnet,Cedric Diggory
Alicia Spinnet,Cho Chang
Alicia Spinnet,Colin Creevey
Alicia Spinnet,Dean Thomas
Alicia Spinnet,Dolores Umbridge
Alicia Spinnet,Draco Malfoy
Alicia Spinnet,Ernie Macmillan
Alicia Spinnet,Filius Flitwick
Alicia Spinnet,Fleur Delacour
Alicia Spinnet,Fred Weasley
Alicia Spinnet,George Weasley
Alicia Spinnet,Hannah Abbott
Alicia Spinnet,Harry Potter
Alicia Spinnet,Hermione Granger
Alicia Spinnet,Justin Finch-Fletchley
Alicia Spinnet,Katie Bell
Alicia Spinnet,Lavender Brown
Alicia Spinnet,Lee Jordan
Alicia Spinnet,Luna Lovegood
Alicia Spinnet,Marietta Edgecombe
Alicia Spinnet,Michael Corner
Alicia Spinnet,Neville Longbottom
Alicia Spinnet,Oliver Wood
Alicia Spinnet,Padma Patil
Alicia Spinnet,Parvati Patil
Alicia Spinnet,Ron Weasley
Alicia Spinnet,Seamus Finnigan
Alicia Spinnet,Susan Bones
Alicia Spinnet,Terry Boot
Alicia Spinnet,Zacharias Smith
Pomona Sprout,"Alaster ""Mad-Eye"" Moody"
Pomona Sprout,Albus Dumbledore
Pomona Sprout,Alecto Carrow
Pomona Sprout,Amos Diggory
Pomona Sprout,Amycus Carrow
Pomona Sprout,Argus Filch
Pomona Sprout,Barty Crouch Jr.
Pomona Sprout,Cedric Diggory
Pomona Sprout,Colin Creevey
Pomona Sprout,Dolores Umbridge
Pomona Sprout,Filius Flitwick
Pomona Sprout,Gilderoy Lockhart
Pomona Sprout,Hannah Abbott
Pomona Sprout,Harry Potter
Pomona Sprout,Hermione Granger
Pomona Sprout,Horace Slughorn
Pomona Sprout,Irma Pince
Pomona Sprout,Justin Finch-Fletchley
Pomona Sprout,Lee Jordan
Pomona Sprout,Lord Voldemort
Pomona Sprout,Lucius Malfoy
Pomona Sprout,Minerva McGonagall
Pomona Sprout,Mrs. Norris
Pomona Sprout,Neville Longbottom
Pomona Sprout,Nicholas de Mimsy-Porpington
Pomona Sprout,Nymphadora Tonks
Pomona Sprout,Penelope Clearwater
Pomona Sprout,Percy Weasley
Pomona Sprout,Poppy Pomfrey
Pomona Sprout,Quirinus Quirrell
Pomona Sprout,Rolanda Hooch
Pomona Sprout,Rubeus Hagrid
Pomona Sprout,Salazar Slytherin
Pomona Sprout,Seamus Finnigan
Pomona Sprout,Severus Snape
Pomona Sprout,Sirius Black
Pomona Sprout,Susan Bones
Pomona Sprout,Sybill Trelawney
Pius Thicknesse,"Alaster ""Mad-Eye"" Moody"
Pius Thicknesse,Albus Dumbledore
Pius Thicknesse,Alecto Carrow
Pius Thicknesse,Amelia Bones
Pius Thicknesse,Amycus Carrow
Pius Thicknesse,Antonin Dolohov
Pius Thicknesse,Arthur Weasley
Pius Thicknesse,Dirk Cresswell
Pius Thicknesse,Dolores Umbridge
Pius Thicknesse,Fred Weasley
Pius Thicknesse,Harry Potter
Pius Thicknesse,Kingsley Shacklebolt
Pius Thicknesse,Lord Voldemort
Pius Thicknesse,Luna Lovegood
Pius Thicknesse,Nagini
Pius Thicknesse,Nymphadora Tonks
Pius Thicknesse,Percy Weasley
Pius Thicknesse,Rufus Scrimgeour
Pius Thicknesse,Severus Snape
Pius Thicknesse,Xenophilius Lovegood
Frank Bryce,Cedric Diggory
Frank Bryce,Harry Potter
Frank Bryce,Lord Voldemort
Frank Bryce,Mary Riddle
Frank Bryce,Merope Gaune
Frank Bryce,Morfin Gaunt
Frank Bryce,Nagini
Frank Bryce,Peter Pettigrew
Frank Bryce,Scabbers
Frank Bryce,Thomas Riddle
Frank Bryce,Tom Riddle Sr.
Frank Bryce,Wormtail
Dean Thomas,Aberforth Dumbledore
Dean Thomas,"Alaster ""Mad-Eye"" Moody"
Dean Thomas,Albus Dumbledore
Dean Thomas,Alicia Spinnet
Dean Thomas,Angelina Johnson
Dean Thomas,Anthony Goldstein
Dean Thomas,Antonin Dolohov
Dean Thomas,Argus Filch
Dean Thomas,Bellatrix Lestrange
Dean Thomas,Bill Weasley
Dean Thomas,Buckbeak
Dean Thomas,Cedric Diggory
Dean Thomas,Cho Chang
Dean Thomas,Dirk Cresswell
Dean Thomas,Dobby
Dean Thomas,Dolores Umbridge
Dean Thomas,Draco Malfoy
Dean Thomas,Ernie Macmillan
Dean Thomas,Fenrir Greyback
Dean Thomas,Firenze
Dean Thomas,Fleur Delacour
Dean Thomas,Fred Weasley
Dean Thomas,Garrick Ollivander
Dean Thomas,George Weasley
Dean Thomas,Gilderoy Lockhart
Dean Thomas,Ginny Weasley
Dean Thomas,Griphook
Dean Thomas,Hannah Abbott
Dean Thomas,Harry Potter
Dean Thomas,Hermione Granger
Dean Thomas,Justin Finch-Fletchley
Dean Thomas,Katie Bell
Dean Thomas,Lavender Brown
Dean Thomas,Lee Jordan
Dean Thomas,Lord Voldemort
Dean Thomas,Luna Lovegood
Dean Thomas,Marietta Edgecombe
Dean Thomas,Michael Corner
Dean Thomas,Nagini
Dean Thomas,Narcissa Malfoy
Dean Thomas,Neville Longbottom
Dean Thomas,Nymphadora Tonks
Dean Thomas,Parvati Patil
Dean Thomas,Remus Lupin
Dean Thomas,Ron Weasley
Dean Thomas,Rubeus Hagrid
Dean Thomas,Seamus Finnigan
Dean Thomas,Severus Snape
Dean Thomas,Sirius Black
Dean Thomas,Susan Bones
Dean Thomas,Sybill Trelawney
Dean Thomas,Ted Tonks
Dean Thomas,Terry Boot
Dean Thomas,Zacharias Smith
Andromeda Tonks,Albus Dumbledore
Andromeda Tonks,Antonin Dolohov
Andromeda Tonks,Arthur Weasley
Andromeda Tonks,Bellatrix Lestrange
Andromeda Tonks,Draco Malfoy
Andromeda Tonks,Harry Potter
Andromeda Tonks,Lord Voldemort
Andromeda Tonks,Molly Weasley
Andromeda Tonks,Narcissa Malfoy
Andromeda Tonks,Nymphadora Tonks
Andromeda Tonks,Regulus Black
Andromeda Tonks,Remus Lupin
Andromeda Tonks,Rubeus Hagrid
Andromeda Tonks,Sirius Black
Andromeda Tonks,Ted Tonks
Andromeda Tonks,Teddy Lupin
Nymphadora Tonks,Aberforth Dumbledore
Nymphadora Tonks,"Alaster ""Mad-Eye"" Moody"
Nymphadora Tonks,Albus Dumbledore
Nymphadora Tonks,Andromeda Tonks
Nymphadora Tonks,Antonin Dolohov
Nymphadora Tonks,Arabella Figg
Nymphadora Tonks,Arthur Weasley
Nymphadora Tonks,Bellatrix Lestrange
Nymphadora Tonks,Bill Weasley
Nymphadora Tonks,Charlie Weasley
Nymphadora Tonks,Dean Thomas
Nymphadora Tonks,Dedalus Diggle
Nymphadora Tonks,Draco Malfoy
Nymphadora Tonks,Elphias Doge
Nymphadora Tonks,Emmeline Vance
Nymphadora Tonks,Fenrir Greyback
Nymphadora Tonks,Filius Flitwick
Nymphadora Tonks,Fleur Delacour
Nymphadora Tonks,Fred Weasley
Nymphadora Tonks,George Weasley
Nymphadora Tonks,Ginny Weasley
Nymphadora Tonks,Harry Potter
Nymphadora Tonks,Hermione Granger
Nymphadora Tonks,Kingsley Shacklebolt
Nymphadora Tonks,Kreacher
Nymphadora Tonks,Lily Potter
Nymphadora Tonks,Lord Voldemort
Nymphadora Tonks,Lucius Malfoy
Nymphadora Tonks,Luna Lovegood
Nymphadora Tonks,Minerva McGonagall
Nymphadora Tonks,Molly Weasley
Nymphadora Tonks,Mundungus Fletcher
Nymphadora Tonks,Nagini
Nymphadora Tonks,Narcissa Malfoy
Nymphadora Tonks,Neville Longbottom
Nymphadora Tonks,Pius Thicknesse
Nymphadora Tonks,Pomona Sprout
Nymphadora Tonks,Remus Lupin
Nymphadora Tonks,Rodolphus Lestrange
Nymphadora Tonks,Ron Weasley
Nymphadora Tonks,Rubeus Hagrid
Nymphadora Tonks,Rufus Scrimgeour
Nymphadora Tonks,Severus Snape
Nymphadora Tonks,Sirius Black
Nymphadora Tonks,Stan Shunpike
Nymphadora Tonks,Sturgis Podmore
Nymphadora Tonks,Ted Tonks
Nymphadora Tonks,Teddy Lupin
Nymphadora Tonks,Vernon Dursley
Ted Tonks,Albus Dumbledore
Ted Tonks,Andromeda Tonks
Ted Tonks,Arthur Weasley
Ted Tonks,Bellatrix Lestrange
Ted Tonks,Dean Thomas
Ted Tonks,Dirk Cresswell
Ted Tonks,Draco Malfoy
Ted Tonks,Fenrir Greyback
Ted Tonks,Griphook
Ted Tonks,Harry Potter
Ted Tonks,Hermione Granger
Ted Tonks,Lord Voldemort
Ted Tonks,Narcissa Malfoy
Ted Tonks,Nymphadora Tonks
Ted Tonks,Remus Lupin
Ted Tonks,Rubeus Hagrid
Ted Tonks,Sirius Black
Ted Tonks,Teddy Lupin
Sybill Trelawney,Aberforth Dumbledore
Sybill Trelawney,Albus Dumbledore
Sybill Trelawney,Alecto Carrow
Sybill Trelawney,Alice Longbottom
Sybill Trelawney,Amycus Carrow
Sybill Trelawney,Argus Filch
Sybill Trelawney,Augusta Longbottom
Sybill Trelawney,Bloody Baron
Sybill Trelawney,Cedric Diggory
Sybill Trelawney,Charity Burbage
Sybill Trelawney,Dean Thomas
Sybill Trelawney,Dolores Umbridge
Sybill Trelawney,Draco Malfoy
Sybill Trelawney,Fenrir Greyback
Sybill Trelawney,Filius Flitwick
Sybill Trelawney,Firenze
Sybill Trelawney,Frank Longbottom
Sybill Trelawney,Gilderoy Lockhart
Sybill Trelawney,Harry Potter
Sybill Trelawney,Hermione Granger
Sybill Trelawney,Horace Slughorn
Sybill Trelawney,Lavender Brown
Sybill Trelawney,Lord Voldemort
Sybill Trelawney,Luna Lovegood
Sybill Trelawney,Minerva McGonagall
Sybill Trelawney,Neville Longbottom
Sybill Trelawney,Padma Patil
Sybill Trelawney,Parvati Patil
Sybill Trelawney,Peter Pettigrew
Sybill Trelawney,Pomona Sprout
Sybill Trelawney,Rita Skeeter
Sybill Trelawney,Ron Weasley
Sybill Trelawney,Rubeus Hagrid
Sybill Trelawney,Rufus Scrimgeour
Sybill Trelawney,Seamus Finnigan
Sybill Trelawney,Severus Snape
Sybill Trelawney,Xenophilius Lovegood
Dolores Umbridge,"Alaster ""Mad-Eye"" Moody"
Dolores Umbridge,Albus Dumbledore
Dolores Umbridge,Alicia Spinnet
Dolores Umbridge,Amelia Bones
Dolores Umbridge,Angelina Johnson
Dolores Umbridge,Anthony Goldstein
Dolores Umbridge,Arabella Figg
Dolores Umbridge,Aragog
Dolores Umbridge,Argus Filch
Dolores Umbridge,Arthur Weasley
Dolores Umbridge,Bane
Dolores Umbridge,Cedric Diggory
Dolores Umbridge,Cho Chang
Dolores Umbridge,Colin Creevey
Dolores Umbridge,Cornelius Fudge
Dolores Umbridge,Cuthbert Binns
Dolores Umbridge,Dean Thomas
Dolores Umbridge,Dirk Cresswell
Dolores Umbridge,Dobby
Dolores Umbridge,Draco Malfoy
Dolores Umbridge,Dudley Dursley
Dolores Umbridge,Ernie Macmillan
Dolores Umbridge,Fang
Dolores Umbridge,Fat Friar
Dolores Umbridge,Filius Flitwick
Dolores Umbridge,Firenze
Dolores Umbridge,Fred Weasley
Dolores Umbridge,Garrick Ollivander
Dolores Umbridge,Gellert Grindelwald
Dolores Umbridge,George Weasley
Dolores Umbridge,Ginny Weasley
Dolores Umbridge,Gregory Goyle
Dolores Umbridge,Hannah Abbott
Dolores Umbridge,Harry Potter
Dolores Umbridge,Hedwig
Dolores Umbridge,Hepzibah Smith
Dolores Umbridge,Hermione Granger
Dolores Umbridge,Horace Slughorn
Dolores Umbridge,Irma Pince
Dolores Umbridge,Justin Finch-Fletchley
Dolores Umbridge,Katie Bell
Dolores Umbridge,Kingsley Shacklebolt
Dolores Umbridge,Lavender Brown
Dolores Umbridge,Lee Jordan
Dolores Umbridge,Lucius Malfoy
Dolores Umbridge,Luna Lovegood
Dolores Umbridge,Marietta Edgecombe
Dolores Umbridge,Mary Cattermole
Dolores Umbridge,Merope Gaune
Dolores Umbridge,Michael Corner
Dolores Umbridge,Millicent Bulstrode
Dolores Umbridge,Minerva McGonagall
Dolores Umbridge,Mundungus Fletcher
Dolores Umbridge,Narcissa Malfoy
Dolores Umbridge,Neville Longbottom
Dolores Umbridge,Padma Patil
Dolores Umbridge,Pansy Parkinson
Dolores Umbridge,Parvati Patil
Dolores Umbridge,Peeves
Dolores Umbridge,Percy Weasley
Dolores Umbridge,Pius Thicknesse
Dolores Umbridge,Pomona Sprout
Dolores Umbridge,Poppy Pomfrey
Dolores Umbridge,Quirinus Quirrell
Dolores Umbridge,Remus Lupin
Dolores Umbridge,Rita Skeeter
Dolores Umbridge,Rolanda Hooch
Dolores Umbridge,Ron Weasley
Dolores Umbridge,Rubeus Hagrid
Dolores Umbridge,Rufus Scrimgeour
Dolores Umbridge,Salazar Slytherin
Dolores Umbridge,Seamus Finnigan
Dolores Umbridge,Severus Snape
Dolores Umbridge,Sirius Black
Dolores Umbridge,Susan Bones
Dolores Umbridge,Sybill Trelawney
Dolores Umbridge,Terry Boot
Dolores Umbridge,Tiberius Ogden
Dolores Umbridge,Vincent Crabbe
Dolores Umbridge,Wilhelmina Grubbly-Plank
Dolores Umbridge,Xenophilius Lovegood
Dolores Umbridge,Zacharias Smith
Emmeline Vance,"Alaster ""Mad-Eye"" Moody"
Emmeline Vance,Albus Dumbledore
Emmeline Vance,Dedalus Diggle
Emmeline Vance,Elphias Doge
Emmeline Vance,Harry Potter
Emmeline Vance,Kingsley Shacklebolt
Emmeline Vance,Lord Voldemort
Emmeline Vance,Nymphadora Tonks
Emmeline Vance,Remus Lupin
Emmeline Vance,Ron Weasley
Emmeline Vance,Severus Snape
Emmeline Vance,Sturgis Podmore
Romilda Vane,Amycus Carrow
Romilda Vane,Cormac McLaggen
Romilda Vane,Harry Potter
Romilda Vane,Hermione Granger
Romilda Vane,Horace Slughorn
Romilda Vane,Luna Lovegood
Romilda Vane,Neville Longbottom
Romilda Vane,Ron Weasley
Romilda Vane,Severus Snape
Septima Vector,Albus Dumbledore
Septima Vector,Angelina Johnson
Septima Vector,Harry Potter
Septima Vector,Hermione Granger
Septima Vector,Rubeus Hagrid
Arthur Weasley,"Alaster ""Mad-Eye"" Moody"
Arthur Weasley,Albus Dumbledore
Arthur Weasley,Amos Diggory
Arthur Weasley,Andromeda Tonks
Arthur Weasley,Angelina Johnson
Arthur Weasley,Argus Filch
Arthur Weasley,Bellatrix Lestrange
Arthur Weasley,Bill Weasley
Arthur Weasley,Charlie Weasley
Arthur Weasley,Cornelius Fudge
Arthur Weasley,Dirk Cresswell
Arthur Weasley,Dobby
Arthur Weasley,Dolores Umbridge
Arthur Weasley,Draco Malfoy
Arthur Weasley,Dudley Dursley
Arthur Weasley,Everard
Arthur Weasley,Fang
Arthur Weasley,Fat Lady
Arthur Weasley,Fawkes
Arthur Weasley,Fenrir Greyback
Arthur Weasley,Fleur Delacour
Arthur Weasley,Fred Weasley
Arthur Weasley,Garrick Ollivander
Arthur Weasley,George Weasley
Arthur Weasley,Gilderoy Lockhart
Arthur Weasley,Ginny Weasley
Arthur Weasley,Harry Potter
Arthur Weasley,Hedwig
Arthur Weasley,Hermione Granger
Arthur Weasley,Horace Slughorn
Arthur Weasley,Kingsley Shacklebolt
Arthur Weasley,Kreacher
Arthur Weasley,Lily Potter
Arthur Weasley,Lucius Malfoy
Arthur Weasley,Molly Weasley
Arthur Weasley,Mundungus Fletcher
Arthur Weasley,Nagini
Arthur Weasley,Nymphadora Tonks
Arthur Weasley,Percy Weasley
Arthur Weasley,Peter Pettigrew
Arthur Weasley,Pius Thicknesse
Arthur Weasley,Remus Lupin
Arthur Weasley,Ron Weasley
Arthur Weasley,Rubeus Hagrid
Arthur Weasley,Rufus Scrimgeour
Arthur Weasley,Seamus Finnigan
Arthur Weasley,Severus Snape
Arthur Weasley,Sirius Black
Arthur Weasley,Ted Tonks
Arthur Weasley,Vernon Dursley
Alecto Carrow,Albus Dumbledore
Alecto Carrow,Amycus Carrow
Alecto Carrow,Argus Filch
Alecto Carrow,Charity Burbage
Alecto Carrow,Draco Malfoy
Alecto Carrow,Ernie Macmillan
Alecto Carrow,Fat Friar
Alecto Carrow,Filius Flitwick
Alecto Carrow,Hannah Abbott
Alecto Carrow,Harry Potter
Alecto Carrow,Helena Ravenclaw
Alecto Carrow,Hermione Granger
Alecto Carrow,Irma Pince
Alecto Carrow,Kingsley Shacklebolt
Alecto Carrow,Lord Voldemort
Alecto Carrow,Luna Lovegood
Alecto Carrow,Michael Corner
Alecto Carrow,Minerva McGonagall
Alecto Carrow,Neville Longbottom
Alecto Carrow,Nicholas de Mimsy-Porpington
Alecto Carrow,Pansy Parkinson
Alecto Carrow,Pius Thicknesse
Alecto Carrow,Pomona Sprout
Alecto Carrow,Poppy Pomfrey
Alecto Carrow,Rolanda Hooch
Alecto Carrow,Ron Weasley
Alecto Carrow,Severus Snape
Alecto Carrow,Sybill Trelawney
Alecto Carrow,Terry Boot
Alecto Carrow,Vincent Crabbe
Bill Weasley,"Alaster ""Mad-Eye"" Moody"
Bill Weasley,Albus Dumbledore
Bill Weasley,Arthur Weasley
Bill Weasley,Bellatrix Lestrange
Bill Weasley,Cedric Diggory
Bill Weasley,Dean Thomas
Bill Weasley,Dobby
Bill Weasley,Draco Malfoy
Bill Weasley,Fenrir Greyback
Bill Weasley,Fleur Delacour
Bill Weasley,Fred Weasley
Bill Weasley,Garrick Ollivander
Bill Weasley,George Weasley
Bill Weasley,Griphook
Bill Weasley,Harry Potter
Bill Weasley,Hermione Granger
Bill Weasley,Kingsley Shacklebolt
Bill Weasley,Lily Potter
Bill Weasley,Lord Voldemort
Bill Weasley,Luna Lovegood
Bill Weasley,Minerva McGonagall
Bill Weasley,Molly Weasley
Bill Weasley,Nagini
Bill Weasley,Neville Longbottom
Bill Weasley,Nymphadora Tonks
Bill Weasley,Olympe Maxime
Bill Weasley,Percy Weasley
Bill Weasley,Remus Lupin
Bill Weasley,Rita Skeeter
Bill Weasley,Rufus Scrimgeour
Bill Weasley,Severus Snape
Bill Weasley,Teddy Lupin
Bill Weasley,Viktor Krum
Charlie Weasley,"Alaster ""Mad-Eye"" Moody"
Charlie Weasley,Albus Dumbledore
Charlie Weasley,Arthur Weasley
Charlie Weasley,Bellatrix Lestrange
Charlie Weasley,Fleur Delacour
Charlie Weasley,Fred Weasley
Charlie Weasley,George Weasley
Charlie Weasley,Harry Potter
Charlie Weasley,Hermione Granger
Charlie Weasley,Horace Slughorn
Charlie Weasley,Kingsley Shacklebolt
Charlie Weasley,Lily Potter
Charlie Weasley,Molly Weasley
Charlie Weasley,Nagini
Charlie Weasley,Neville Longbottom
Charlie Weasley,Nymphadora Tonks
Charlie Weasley,Olympe Maxime
Charlie Weasley,Percy Weasley
Charlie Weasley,Remus Lupin
Charlie Weasley,Rita Skeeter
Charlie Weasley,Rubeus Hagrid
Fred Weasley,"Alaster ""Mad-Eye"" Moody"
Fred Weasley,Albus Dumbledore
Fred Weasley,Alicia Spinnet
Fred Weasley,Angelina Johnson
Fred Weasley,Anthony Goldstein
Fred Weasley,Argus Filch
Fred Weasley,Arthur Weasley
Fred Weasley,Augustus Rookwood
Fred Weasley,Bellatrix Lestrange
Fred Weasley,Bill Weasley
Fred Weasley,Charlie Weasley
Fred Weasley,Cho Chang
Fred Weasley,Dean Thomas
Fred Weasley,Dolores Umbridge
Fred Weasley,Draco Malfoy
Fred Weasley,Dudley Dursley
Fred Weasley,Ernie Macmillan
Fred Weasley,Filius Flitwick
Fred Weasley,Fleur Delacour
Fred Weasley,George Weasley
Fred Weasley,Ginny Weasley
Fred Weasley,Hannah Abbott
Fred Weasley,Harry Potter
Fred Weasley,Hermione Granger
Fred Weasley,James Potter
Fred Weasley,Justin Finch-Fletchley
Fred Weasley,Katie Bell
Fred Weasley,Kingsley Shacklebolt
Fred Weasley,Lavender Brown
Fred Weasley,Lee Jordan
Fred Weasley,Lord Voldemort
Fred Weasley,Luna Lovegood
Fred Weasley,Marietta Edgecombe
Fred Weasley,Michael Corner
Fred Weasley,Minerva McGonagall
Fred Weasley,Molly Weasley
Fred Weasley,Nagini
Fred Weasley,Neville Longbottom
Fred Weasley,Nymphadora Tonks
Fred Weasley,Oliver Wood
Fred Weasley,Peeves
Fred Weasley,Percy Weasley
Fred Weasley,Peter Pettigrew
Fred Weasley,Pius Thicknesse
Fred Weasley,Quirinus Quirrell
Fred Weasley,Remus Lupin
Fred Weasley,Ron Weasley
Fred Weasley,Rufus Scrimgeour
Fred Weasley,Seamus Finnigan
Fred Weasley,Severus Snape
Fred Weasley,Sirius Black
Fred Weasley,Susan Bones
Fred Weasley,Terry Boot
Fred Weasley,Zacharias Smith
George Weasley,"Alaster ""Mad-Eye"" Moody"
George Weasley,Albus Dumbledore
George Weasley,Alicia Spinnet
George Weasley,Angelina Johnson
George Weasley,Anthony Goldstein
George Weasley,Argus Filch
George Weasley,Arthur Weasley
George Weasley,Bellatrix Lestrange
George Weasley,Bill Weasley
George Weasley,Cedric Diggory
George Weasley,Charlie Weasley
George Weasley,Cho Chang
George Weasley,Dean Thomas
George Weasley,Dolores Umbridge
George Weasley,Draco Malfoy
George Weasley,Dudley Dursley
George Weasley,Ernie Macmillan
George Weasley,Filius Flitwick
George Weasley,Fleur Delacour
George Weasley,Fred Weasley
George Weasley,Gilderoy Lockhart
George Weasley,Ginny Weasley
George Weasley,Hannah Abbott
George Weasley,Harry Potter
George Weasley,Hermione Granger
George Weasley,James Potter
George Weasley,Justin Finch-Fletchley
George Weasley,Kingsley Shacklebolt
George Weasley,Lavender Brown
George Weasley,Lee Jordan
George Weasley,Lily Potter
George Weasley,Luna Lovegood
George Weasley,Marietta Edgecombe
George Weasley,Michael Corner
George Weasley,Minerva McGonagall
George Weasley,Molly Weasley
George Weasley,Nagini
George Weasley,Neville Longbottom
George Weasley,Nymphadora Tonks
George Weasley,Oliver Wood
George Weasley,Peeves
George Weasley,Penelope Clearwater
George Weasley,Percy Weasley
George Weasley,Peter Pettigrew
George Weasley,Quirinus Quirrell
George Weasley,Remus Lupin
George Weasley,Rolanda Hooch
George Weasley,Ron Weasley
George Weasley,Rubeus Hagrid
George Weasley,Rufus Scrimgeour
George Weasley,Seamus Finnigan
George Weasley,Severus Snape
George Weasley,Sirius Black
George Weasley,Susan Bones
George Weasley,Terry Boot
George Weasley,Vincent Crabbe
George Weasley,Zacharias Smith
Ginny Weasley,"Alaster ""Mad-Eye"" Moody"
Ginny Weasley,Albus Dumbledore
Ginny Weasley,Amycus Carrow
Ginny Weasley,Angelina Johnson
Ginny Weasley,Argus Filch
Ginny Weasley,Arthur Weasley
Ginny Weasley,Augusta Longbottom
Ginny Weasley,Bellatrix Lestrange
Ginny Weasley,Cho Chang
Ginny Weasley,Colin Creevey
Ginny Weasley,Cormac McLaggen
Ginny Weasley,Crookshanks
Ginny Weasley,Dean Thomas
Ginny Weasley,Dolores Umbridge
Ginny Weasley,Draco Malfoy
Ginny Weasley,Fawkes
Ginny Weasley,Fenrir Greyback
Ginny Weasley,Fleur Delacour
Ginny Weasley,Fred Weasley
Ginny Weasley,Gabrielle Delacour
Ginny Weasley,George Weasley
Ginny Weasley,Gilderoy Lockhart
Ginny Weasley,Harry Potter
Ginny Weasley,Hedwig
Ginny Weasley,Hermione Granger
Ginny Weasley,Horace Slughorn
