char_1,char_2
Harry Potter,Angelina Johnson
Harry Potter,Anthony Goldstein
Harry Potter,Antioch Peverell
Harry Potter,Antonin Dolohov
Harry Potter,Arabella Figg
Harry Potter,Aragog
Harry Potter,Argus Filch
Harry Potter,Ariana Dumbledore
Harry Potter,Arthur Weasley
Harry Potter,Augusta Longbottom
Harry Potter,Augustus Rookwood
Harry Potter,Bane
Harry Potter,Barty Crouch Jr.
Harry Potter,Barty Crouch Sr.
Harry Potter,Bathilda Bagshot
Harry Potter,Bellatrix Lestrange
Harry Potter,Bill Weasley
Harry Potter,Blaise Zabini
Harry Potter,Bloody Baron
Harry Potter,Bob Ogden
Harry Potter,Buckbeak
Harry Potter,Cadmus Peverell
Harry Potter,Cedric Diggory
Harry Potter,Charlie Weasley
Harry Potter,Cho Chang
Harry Potter,Colin Creevey
Harry Potter,Cormac McLaggen
Harry Potter,Cornelius Fudge
Harry Potter,Crookshanks
Harry Potter,Cuthbert Binns
Harry Potter,Dean Thomas
Harry Potter,Dedalus Diggle
Harry Potter,Dirk Cresswell
Harry Potter,Dobby
Harry Potter,Dolores Umbridge
Harry Potter,Dudley Dursley
Harry Potter,Elphias Doge
Harry Potter,Emmeline Vance
Harry Potter,Ernie Macmillan
Harry Potter,Fang
Harry Potter,Fat Friar
Harry Potter,Fat Lady
Harry Potter,Fawkes
Harry Potter,Fenrir Greyback
Harry Potter,Filius Flitwick
Harry Potter,Firenze
Harry Potter,Fleur Delacour
Harry Potter,Fluffy
Harry Potter,Frank Bryce
Harry Potter,Frank Longbottom
Harry Potter,Fred Weasley
Harry Potter,Gabrielle Delacour
Harry Potter,Garrick Ollivander
Harry Potter,Gellert Grindelwald
Harry Potter,George Weasley
Harry Potter,Gilderoy Lockhart
Harry Potter,Ginny Weasley
Harry Potter,Godric Gryffindor
Harry Potter,Grawp
Harry Potter,Gregorovitch
Harry Potter,Gregory Goyle
Harry Potter,Griphook
Harry Potter,Hannah Abbott
Harry Potter,Hedwig
Harry Potter,Helena Ravenclaw
Harry Potter,Hepzibah Smith
Harry Potter,Hermione Granger
Harry Potter,Horace Slughorn
Harry Potter,Ignotus Peverell
Harry Potter,Igor Karkaroff
Harry Potter,Irma Pince
Harry Potter,James Potter
Harry Potter,Justin Finch-Fletchley
Harry Potter,Katie Bell
Harry Potter,Kendra Dumbledore
Harry Potter,Kingsley Shacklebolt
Harry Potter,Kreacher
Harry Potter,Lavender Brown
Harry Potter,Lee Jordan
Harry Potter,Lily Potter
Harry Potter,Lord Voldemort
Harry Potter,Lucius Malfoy
Harry Potter,Ludo Bagman
Harry Potter,Luna Lovegood
Harry Potter,Madam Rosmerta
Harry Potter,Majorie Dursley
Harry Potter,Marietta Edgecombe
Harry Potter,Mary Cattermole
Harry Potter,Merope Gaune
Harry Potter,Michael Corner
Harry Potter,Millicent Bulstrode
Harry Potter,Minerva McGonagall
Harry Potter,Moaning Myrtle
Harry Potter,Molly Weasley
Harry Potter,Mrs. Norris
Harry Potter,Mundungus Fletcher
Harry Potter,Nagini
Harry Potter,Narcissa Malfoy
Harry Potter,Neville Longbottom
Harry Potter,Nicholas de Mimsy-Porpington
Harry Potter,Nicolas Flamel
Harry Potter,Norbert
Harry Potter,Nymphadora Tonks
Harry Potter,Oliver Wood
Harry Potter,Olympe Maxime
Harry Potter,Padma Patil
Harry Potter,Pansy Parkinson
Harry Potter,Parvati Patil
Harry Potter,Peeves
Harry Potter,Penelope Clearwater
Harry Potter,Percival Dumbledore
Harry Potter,Percy Weasley
Harry Potter,Peter Pettigrew
Harry Potter,Petunia Dursley
Harry Potter,Pius Thicknesse
Harry Potter,Pomona Sprout
Harry Potter,Poppy Pomfrey
Harry Potter,Quirinus Quirrell
Harry Potter,Rabastan Lestrange
Harry Potter,Reginald Cattermole
Harry Potter,Regulus Black
Harry Potter,Remus Lupin
Harry Potter,Rita Skeeter
Harry Potter,Rodolphus Lestrange
Harry Potter,Rolanda Hooch
Harry Potter,Romilda Vane
Harry Potter,Ron Weasley
Harry Potter,Rubeus Hagrid
Harry Potter,Rufus Scrimgeour
Harry Potter,Salazar Slytherin
Harry Potter,Scabbers
Harry Potter,Seamus Finnigan
Harry Potter,Septima Vector
Harry Potter,Severus Snape
Harry Potter,Sir Cadogan
Harry Potter,Sirius Black
Harry Potter,Stan Shunpike
Harry Potter,Sturgis Podmore
Harry Potter,Susan Bones
Harry Potter,Sybill Trelawney
Harry Potter,Ted Tonks
Harry Potter,Teddy Lupin
Harry Potter,Terry Boot
Harry Potter,Theodore Nott
Harry Potter,Tiberius Ogden
Harry Potter,Tom Riddle Sr.
Harry Potter,Trevor
Harry Potter,Vernon Dursley
Harry Potter,Viktor Krum
Harry Potter,Vincent Crabbe
Harry Potter,Wilhelmina Grubbly-Plank
Harry Potter,Winky
Harry Potter,Wormtail
Harry Potter,Xenophilius Lovegood
Harry Potter,Zacharias Smith
James Potter,"Alaster ""Mad-Eye"" Moody"
James Potter,Albus Dumbledore
James Potter,Alice Longbottom
James Potter,Argus Filch
James Potter,Cedric Diggory
James Potter,Cuthbert Binns
James Potter,Draco Malfoy
James Potter,Dudley Dursley
James Potter,Elphias Doge
James Potter,Filius Flitwick
James Potter,Fred Weasley
James Potter,George Weasley
James Potter,Harry Potter
James Potter,Hermione Granger
James Potter,Kingsley Shacklebolt
James Potter,Lily Potter
James Potter,Lord Voldemort
James Potter,Madam Rosmerta
James Potter,Majorie Dursley
James Potter,Minerva McGonagall
James Potter,Peter Pettigrew
James Potter,Petunia Dursley
James Potter,Poppy Pomfrey
James Potter,Quirinus Quirrell
James Potter,Remus Lupin
James Potter,Rubeus Hagrid
James Potter,Scabbers
James Potter,Severus Snape
James Potter,Sirius Black
James Potter,Vernon Dursley
James Potter,Wormtail
Lily Potter,Angelina Johnson
Lily Potter,Arthur Weasley
Lily Potter,Bill Weasley
Lily Potter,Charlie Weasley
Lily Potter,Dudley Dursley
Lily Potter,Fleur Delacour
Lily Potter,George Weasley
Lily Potter,Ginny Weasley
Lily Potter,Harry Potter
Lily Potter,Hermione Granger
Lily Potter,James Potter
Lily Potter,Luna Lovegood
Lily Potter,Molly Weasley
Lily Potter,Nymphadora Tonks
Lily Potter,Petunia Dursley
Lily Potter,Remus Lupin
Lily Potter,Ron Weasley
Lily Potter,Severus Snape
Lily Potter,Teddy Lupin
Lily Potter,Vernon Dursley
Quirinus Quirrell,Albus Dumbledore
Quirinus Quirrell,Argus Filch
Quirinus Quirrell,Bellatrix Lestrange
Quirinus Quirrell,Cuthbert Binns
Quirinus Quirrell,Dolores Umbridge
Quirinus Quirrell,Draco Malfoy
Quirinus Quirrell,Fang
Quirinus Quirrell,Filius Flitwick
Quirinus Quirrell,Firenze
Quirinus Quirrell,Fluffy
Quirinus Quirrell,Fred Weasley
Quirinus Quirrell,George Weasley
Quirinus Quirrell,Harry Potter
Quirinus Quirrell,Hermione Granger
Quirinus Quirrell,James Potter
Quirinus Quirrell,Lord Voldemort
Quirinus Quirrell,Minerva McGonagall
Quirinus Quirrell,Narcissa Malfoy
Quirinus Quirrell,Neville Longbottom
